index,discipline,Continental,ISIC,Super100,Super300,Super500,Super750,WTFSuper1000
ARM,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,MS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHE,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,MS,0.0,0.0,2.0,2.0,1.0,1.0,2.0
CYP,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,MS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DEU,MS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DNK,MS,1.0,4.0,0.0,1.0,1.0,0.0,0.0
DZA,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,MS,1.0,1.0,0.0,0.0,0.0,0.0,0.0
EST,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,MS,0.0,4.0,0.0,0.0,0.0,0.0,0.0
GBR,MS,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GCA,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,MS,0.0,1.0,2.0,1.0,1.0,0.0,1.0
IND,MS,0.0,2.0,4.0,2.0,0.0,0.0,0.0
IRL,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRN,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRQ,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,MS,1.0,2.0,0.0,0.0,1.0,3.0,2.0
KAZ,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
