index,discipline,player_count
ARM,MS,0.0
AUS,MS,9.0
AUT,MS,8.0
AZE,MS,4.0
BEL,MS,14.0
BEN,MS,1.0
BGR,MS,8.0
BHR,MS,3.0
BLR,MS,0.0
BRA,MS,2.0
BRB,MS,1.0
BRN,MS,1.0
CAN,MS,26.0
CHE,MS,11.0
CHL,MS,1.0
CHN,MS,32.0
CYP,MS,2.0
CZE,MS,17.0
DEU,MS,24.0
DNK,MS,48.0
DZA,MS,3.0
ECU,MS,0.0
EGY,MS,4.0
ESP,MS,26.0
EST,MS,17.0
ETH,MS,0.0
FIN,MS,20.0
FRA,MS,20.0
GBR,MS,65.0
GCA,MS,1.0
GRC,MS,3.0
HRV,MS,4.0
HUN,MS,11.0
IDN,MS,54.0
IND,MS,70.0
IRL,MS,11.0
IRN,MS,5.0
IRQ,MS,0.0
ISL,MS,2.0
ISR,MS,3.0
ITA,MS,7.0
JAM,MS,1.0
JOR,MS,3.0
JPN,MS,28.0
KAZ,MS,2.0
KOR,MS,22.0
LAO,MS,0.0
LKA,MS,2.0
LTU,MS,0.0
LUX,MS,5.0
LVA,MS,5.0
MAR,MS,1.0
MDA,MS,3.0
MDV,MS,1.0
MEX,MS,4.0
MKD,MS,0.0
MLT,MS,3.0
MMR,MS,2.0
MNG,MS,1.0
MUS,MS,1.0
MYS,MS,37.0
NGA,MS,0.0
NLD,MS,12.0
NOR,MS,4.0
NPL,MS,4.0
NZL,MS,5.0
PAK,MS,5.0
PER,MS,4.0
PHL,MS,1.0
POL,MS,26.0
PRT,MS,14.0
PYF,MS,1.0
ROU,MS,1.0
RUS,MS,26.0
SGP,MS,8.0
SRB,MS,5.0
SUR,MS,1.0
SVK,MS,3.0
SVN,MS,10.0
SWE,MS,29.0
SYR,MS,1.0
THA,MS,17.0
TTO,MS,1.0
TUR,MS,13.0
TWN,MS,32.0
UAE,MS,9.0
UGA,MS,0.0
UKR,MS,23.0
USA,MS,32.0
UZB,MS,3.0
VNM,MS,9.0
ZAF,MS,0.0
ARM,WS,1.0
AUS,WS,6.0
AUT,WS,6.0
AZE,WS,0.0
BEL,WS,3.0
BEN,WS,0.0
BGR,WS,2.0
BHR,WS,0.0
BLR,WS,6.0
BRA,WS,2.0
BRB,WS,0.0
BRN,WS,0.0
CAN,WS,12.0
CHE,WS,6.0
CHL,WS,0.0
CHN,WS,33.0
CYP,WS,2.0
CZE,WS,10.0
DEU,WS,11.0
DNK,WS,33.0
DZA,WS,2.0
ECU,WS,1.0
